Fecha,flujo,tarea_detalle,Usuario,Tareas realizadas
5 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,56
5 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,59
5 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,52
6 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,24
6 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,32
6 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,43
6 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,36
6 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,27
6 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,20
6 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,57
6 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,24
6 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,52
6 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,31
6 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,44
6 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,56
6 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,26
6 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,24
6 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,60
6 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,20
7 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,32
7 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,30
7 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,35
7 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,53
7 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,56
7 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,38
7 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,42
7 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,32
7 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,46
7 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,44
7 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,31
7 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,63
7 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,69
7 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,65
7 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,41
7 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,60
10 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,55
10 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,39
10 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,30
10 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,40
10 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,39
10 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,44
10 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,60
10 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,57
10 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,37
10 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,32
10 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,68
10 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,53
10 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,60
10 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,57
10 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,50
10 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,54
11 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,34
11 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,54
11 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,56
11 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,41
11 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,36
11 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,25
11 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,64
11 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,37
11 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,66
11 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,45
11 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,53
11 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,56
12 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,31
12 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,30
12 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,72
12 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,33
12 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,34
12 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,18
12 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,39
12 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,59
